Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,emmali_notes
19849,Genesee,STAFFORD (T) / Stafford (T),"Water District No. 14, New Distribution System",30,"$530,000",50,"$1,718,346,523",
19776,Genesee,BATAVIA (C) / Batavia (C),"Replacement of WM on Walnut St, Upgrade Distribution System","15,600","$4,170,000",40,"$1,722,516,523",
19221,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 3 Water Supply Project, Part 1. Funding Phase 1 of #19559. , New Distribution System","30,000","$50,800,000",35,"$1,773,316,523",
19862,Genesee,(C) BATAVIA / (C) Batavia,"Lead Service Line Replecement Project , Upgrade Distribution System","3,110","$10,744,805",35,"$1,784,061,328",
19222,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 3 Water Supply Project, Part 2. Funding Phase 2 of #19559., New Distribution System","30,000","$46,520,000",35,"$1,830,581,328",
19559,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 3 Water Supply Project., New Distribution System","30,000","$155,486,524",35,"$1,986,067,852",
19619,Genesee,BATAVIA (C) / Batavia (C),"Lead Service Line Inventory, Upgrade Distribution System","15,600","$772,500",35,"$1,986,840,352",
19223,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 3 Water Supply Project, Part 3. Funding Phase 3 of #19559., New Distribution System","30,000","$55,680,000",35,"$2,042,520,352",
19497,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 2 - Chlorination Booster Upgrades, Tank THM Treatment, and Transmission Upgrades, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","57,808","$2,812,000",30,"$2,045,332,352",
19649,Genesee,BATAVIA (T) / Batavia (T),"Pearl Street Rd, Asbestos Cement WM Replacement, Upgrade Distribution System","6,293","$3,675,900",20,"$2,049,008,252",
18919,Genesee,MONROE COUNTY WA / Monroe County Water Authority,"1.5MG Tank Installation in Town of Pavilion., New Storage","8,820","$5,055,000",20,"$2,054,063,252",
15958,Greene,PRATTSVILLE WATER DISTRICT / Prattsville (T),"Adress organics violations and inadequate source capacity, New Ground Water Source",410,"$150,000",1155,"$2,054,213,252",
18764,Greene,CATSKILL (V) / Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street. , Upgrade Water Treatment Plant, Upgrade Distribution System","4,081",$0,1090,"$2,054,213,252",
19506,Greene,ATHENS (V) / Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility","1,586","$1,331,338",95,"$2,055,544,590",
15704,Greene,COXSACKIE VILLAGE / Coxsackie (V),"New storage tank and transmission main upgrades. , Upgrade Transmission, New Storage","4,010",$0,75,"$2,055,544,590",
18917,Greene,ASHLAND WD / Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,"$437,750",70,"$2,055,982,340",
19733,Greene,CATSKILL (V) / Catskill (V),"Lead Service Line Replacement., Upgrade Distribution System","5,000","$355,150",40,"$2,056,337,490",
19579,Greene,SLEEPY HOLLOW LAKE WATER COMPANY / Sleepy Hollow Lake APO,"Sleepy Hollow Lake WTP Upgrades, Upgrade Water Treatment Plant","2,460","$8,376,498",40,"$2,064,713,988",
19629,Greene,CATSKILL (V) / Catskill (V),"Lead Service Line Inventory., Upgrade Distribution System","5,000","$1,272,369",40,"$2,065,986,357",
19832,Greene,CATSKILL (V) / Catskill (V),"Replacement of approximately 4,685 LF of Watermain, Upgrade Distribution System","3,833","$5,000,000",35,"$2,070,986,357",
19106,Greene,TANNERSVILLE (V) / Tannersville (V),"Emergency Water Storage Tank Replacement, Upgrade Storage",600,"$400,000",30,"$2,071,386,357",
19815,Greene,VILLAGE OF COXSACKIE / Coxsackie (V),"Lead Service Line Replacement., Upgrade Distribution System",210,"$1,294,945",30,"$2,072,681,302",
19808,Greene,VILLAGE OF COXSACKIE / Coxsackie (V),"Lead Service Line Inventory., Upgrade Distribution System","1,300","$41,450",30,"$2,072,722,752",
18430,Hamilton,BLUE MT LAKE WD / Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,"$5,000,000",80,"$2,077,722,752",
19094,Hamilton,SPECULATOR (V) / Speculator (V),"Elm Lake Road Water Main Replacement and Transmission Upgrades, Upgrade Transmission, Upgrade Distribution System",408,"$2,200,000",35,"$2,079,922,752",
19260,Hamilton,LONG LAKE WD / Long Lake (T),"Rehab and replace existing Distribution System, well upgrades, WTP upgrades., Upgrade Ground Water Source, Upgrade Distribution System",800,"$46,350,000",35,"$2,126,272,752",
18563,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Medium Priority Distribution Imprvts and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Distribution System, New System Consolidation","8,610",$0,1145,"$2,126,272,752",
18562,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Dedicated Well Transmission Main and High Priority Distribution Improvements., Upgrade Ground Water Source, New Transmission, Upgrade Storage, Upgrade Distribution System","8,610","$700,000",1135,"$2,126,972,752",
17422,Herkimer,"HERKIMER (T), WD NO. 3 / Herkimer (T)","New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0,1080,"$2,126,972,752",
19368,Herkimer,LITTLE FALLS (C) / Little Falls (C),"Lead service line inventory., Upgrade Distribution System","4,605",$0,1040,"$2,126,972,752",
18860,Herkimer,HERKIMER (V) / Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",125,"$2,144,471,422",
18711,Herkimer,EAST SCHUYLER WD / Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"$7,391,280",105,"$2,151,862,702",
18897,Herkimer,HERKIMER COUNTY INDUSTRIAL DEV AGENCY / Herkimer County IDA,"Eastern Mohawk Valley Regional Transmission Main. Related to projects Nos. 18715, 18716, 18860, 18563, 18711., New Transmission","22,000","$16,620,000",100,"$2,168,482,702",
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 / Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,"$1,839,580",95,"$2,170,322,282",
18715,Herkimer,FRANKFORT (V) WATER WORKS / Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","2,995","$8,667,450",90,"$2,178,989,732",
18872,Herkimer,HERKIMER (V) / Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements., New Ground Water Source, New Storage, Upgrade Distribution System","7,606","$20,597,940",85,"$2,199,587,672",
18765,Herkimer,TOWN OF FRANKFORT / Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",170,"$1,365,000",60,"$2,200,952,672",
17048,Herkimer,DOLGEVILLE (V) / Dolgeville (V),"Manheim Elevated Storage Tank., New Storage","2,452","$5,830,000",55,"$2,206,782,672",
19426,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Lead service line replacement., Upgrade Distribution System","7,646","$4,071,590",45,"$2,210,854,262",
19424,Herkimer,HERKIMER (V) / Herkimer (V),"Lead service line replacement., Upgrade Distribution System","7,500","$13,208,720",45,"$2,224,062,982",
19423,Herkimer,HERKIMER (V) / Herkimer (V),"Lead service line inventory., Upgrade Distribution System","7,500","$801,340",45,"$2,224,864,322",
19425,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Lead service line inventory., Upgrade Distribution System","7,646","$1,077,380",45,"$2,225,941,702",
18834,Herkimer,POLAND (V) / Polland (V),"Well and Treatment Improvements., Upgrade Other Expenses, Upgrade Ground Water Source, Upgrade Transmission, Upgrade Pump Station, Upgrade Other (OT)",463,"$1,400,000",40,"$2,227,341,702",
19261,Herkimer,LITTLE FALLS (C) / Little Falls (C),"Distribution system improvements, WTP improvements, Spruce Lake Dam rehab, Upgrade Other Expenses, Upgrade Water Treatment Plant, Upgrade Distribution System, Upgrade Other (OT)","4,946","$28,428,000",40,"$2,255,769,702",
19446,Herkimer,DOLGEVILLE (V) / Dolgeville (V),"Lead service line inventory., Upgrade Distribution System","2,042","$352,260",35,"$2,256,121,962",
19422,Herkimer,FRANKFORT (V) / Frankfort (V),"Lead service line replacement., Upgrade Distribution System","2,502","$551,050",35,"$2,256,673,012",
18537,Jefferson,ORLEANS WATER IMPROVEMENTS /,"Consolidation of PWS w/ violations and to serve contaminated private wells. Related to DWSRF# 18096., Extend Distribution System",450,$0,1135,"$2,256,673,012",
18173,Jefferson,BROWNVILLE (T) / Brownville (T),"(T) Brownville WD#2., New Distribution System",424,$0,1095,"$2,256,673,012",
18936,Jefferson,ALEXANDRIA VILLAGE / Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900",$0,1070,"$2,256,673,012",
16339,Jefferson,WELLESLEY ISLAND WATER CORP. / Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$6,354,590",140,"$2,263,027,602",
19140,Jefferson,WATERTOWN WD #3 & #4 / Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,"$10,135,200",105,"$2,273,162,802",
19240,Jefferson,WEST CARTHAGE (V) / West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System","5,016","$21,945,180",100,"$2,295,107,982",
17978,Jefferson,NORTHEAST WATER DISTRICT / Watertown (T),"New Northeast Water District, New Water District",550,"$8,085,000",100,"$2,303,192,982",
18911,Jefferson,LERAY TOWN WD 2 / LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",100,"$2,307,192,982",
19154,Jefferson,WATERTOWN (C) / Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant","65,000","$58,300,000",95,"$2,365,492,982",
18097,Jefferson,CLAYTON VILLAGE / Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,100",$0,90,"$2,365,492,982",
18126,Jefferson,BROWNVILLE (V) / Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System","2,200","$18,948,500",85,"$2,384,441,482",
19119,Jefferson,PHILADELPHIA (T) / Philadelphia (T),"New Proposed Water System, New Distribution System",183,"$6,787,746",80,"$2,391,229,228",
18425,Jefferson,HOUNSFIELD WATER DISTRICT NO. 7 / Hounsfield (T),"WD #7., New Distribution System",40,$0,80,"$2,391,229,228",
18853,Jefferson,HOUNSFIELD WSA #8 / Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells., New Water District","1,250","$13,162,370",75,"$2,404,391,598",
19510,Jefferson,LORRAINE WATER DISTRICT NO. 1 / Lorraine (T),"Construction of WD No. 1, New Water District",160,"$4,435,000",65,"$2,408,826,598",
18180,Jefferson,CAPE VINCENT (T) WD#7 / Cape Vincent (T),"New Water District #7, New Water District",495,"$8,334,000",65,"$2,417,160,598",
18876,Jefferson,TOWN OF LYME WATER DISTRICT NO. 6 / Lyme (T),"New Distribution System - Three Mile Bay/Chaumont/Cape Vincent Areas., New Distribution System",150,"$6,413,810",65,"$2,423,574,408",
18232,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System","2,000",$0,55,"$2,423,574,408",
17301,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,000",$0,55,"$2,423,574,408",
17058,Jefferson,HOUNSFIELD WD 2 / Hounsfield (T),Extend Distribution System,500,"$794,439",50,"$2,424,368,847",
19527,Jefferson,BLACK RIVER (V) / Black River (V),"Distribution, Maple St. Well, & New Source Improvements, New Ground Water Source, Upgrade Distribution System","4,170","$18,200,000",50,"$2,442,568,847",
19542,Jefferson,DEXTER (V) / Dexter (V),"Route 180 Water Line Replacement, Upgrade Distribution System","1,004","$3,071,975",45,"$2,445,640,822",
19159,Jefferson,SACKETS HARBOR (V) / Sackets Harbor (V),"E. Main St., E. Washington St., etc. Watermain Replacement, Upgrade Distribution System","1,503","$3,190,000",45,"$2,448,830,822",
19528,Jefferson,PAMELIA CONSOLIDATED WD NO. 1 / Pamelia (T),"Water Main Replacement and Chlorine Booster Station, Upgrade Other Expenses, Upgrade Distribution System, Upgrade Other (OT)","2,350","$8,786,000",45,"$2,457,616,822",
19126,Jefferson,DEVELOPMENT AUTH OF NORTH COUNTRY / DANC,"Army Water Line Replacement - Phase 1, Upgrade Transmission","40,237",$0,45,"$2,457,616,822",
18175,Jefferson,SACKETS HARBOR VILLAGE / Sackets Harbor (V),"Replace existing intake piping and crib., Upgrade Surface Water Source, Upgrade Transmission","1,300",$0,45,"$2,457,616,822",
18927,Jefferson,ADAMS (V) / Adams (V),"Water main and water meter replacement, Upgrade Distribution System","3,300","$6,162,490",45,"$2,463,779,312",
19143,Jefferson,CLAYTON (V) / Clayton (V),"Water Main Replacement and New Raw Water Intake Line and Screen, Upgrade Distribution System","2,732","$8,481,020",40,"$2,472,260,332",
18884,Jefferson,HOUNSFIELD WATER SYSTEM / Hounsfield (T),"NYS Rt 3 Corridor Upgrades., New Transmission, Upgrade Transmission, Upgrade Storage, Upgrade Distribution System","1,250",$0,40,"$2,472,260,332",
19454,Jefferson,CLAYTON (V) / Clayton (V),"Lead service line inventory., Upgrade Distribution System","2,079","$82,391",35,"$2,472,342,723",
19453,Jefferson,CHAMPION WD#2 / Champion (T),"Lead service line inventory., Upgrade Distribution System",712,"$26,766",35,"$2,472,369,489",
18329,Jefferson,CHAUMONT VILLAGE / Chaumont (V),"Upgrade Transmission, Upgrade Distribution System",625,$0,35,"$2,472,369,489",
19466,Jefferson,LERAY (T) / Leray (T),"Lead service line inventory., Upgrade Distribution System","10,000","$87,962",30,"$2,472,457,452",
19461,Jefferson,ADAMS (V) / Adams (V),"Lead service line inventory., Upgrade Distribution System","1,775","$519,120",30,"$2,472,976,572",
19470,Jefferson,RUTLAND (T) / Rutland (T),"Lead service line inventory., Upgrade Distribution System","1,250","$48,419",30,"$2,473,024,991",
19471,Jefferson,SACKETS HARBOR (V) / Sackets Harbor (V),"Lead service line inventory., Upgrade Distribution System","1,550","$54,610",20,"$2,473,079,601",
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S / Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,$0,1080,"$2,473,079,601",
19802,Lewis,LYONSDALE (T) / Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1., New Water District",783,"$5,871,000",115,"$2,478,950,601",
19760,Lewis,CROGHAN (V) / Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,"$10,197,000",110,"$2,489,147,601",
19517,Lewis,TURIN (V) / Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,"$6,952,500",100,"$2,496,100,101",
19521,Lewis,PORT LEYDEN (V) / Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,"$10,197,000",95,"$2,506,297,101",
18756,Lewis,CONSTABLEVILLE (V) / Constableville (V),"Watermain replacement, raw water transmission main replacement, spring storage basin repair/upgrades., Upgrade Transmission, Upgrade Distribution System",310,"$13,600,000",95,"$2,519,897,101",
18825,Lewis,COPENHAGEN (V) / Copenhagen (V),"Interconnection with Carthage / West Carthage - Source Capacity, Upgrade Water Treatment Plant",723,"$6,264,300",80,"$2,526,161,401",
18579,Lewis,TOWN OF DIANA WATER DISTRICT / Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$6,180,000",60,"$2,532,341,401",
18735,Lewis,CASTORLAND (V) / Castorland (V),"Denmark Storage Tank Replacement., New Storage",365,"$915,000",45,"$2,533,256,401",
19608,Lewis,TURIN (V) / Turin (V),"Lead service line inventory., Upgrade Distribution System",300,"$185,400",40,"$2,533,441,801",
19464,Lewis,PORT LEYDEN (V) / Port Leyden (V),"Leade service line inventory., Upgrade Distribution System",820,"$301,778",40,"$2,533,743,579",
19877,Lewis,CROGHAN (V) / Croghan (V),"Lead service line inventory., New Distribution System",900,"$267,800",35,"$2,534,011,379",
19458,Lewis,DIANA (T) / Diana (T),"Lead service line inventory., Upgrade Distribution System",650,"$28,818",30,"$2,534,040,197",
18746,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Disinfection byproduct removal, new meters and SCADA, storage tank replacement, system consolidation., Upgrade Storage, Upgrade Distribution System, New System Consolidation","7,975","$1,500,000",1105,"$2,535,540,197",
19225,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System","33,200","$35,800,000",140,"$2,571,340,197",
19550,Livingston,AVON (V) / Avon (V),"Upgrade Water Tanks and Water Mains, Upgrade Distribution System","6,200","$4,828,640",70,"$2,576,168,837",
19428,Livingston,GROVELAND (T) / Groveland (T),"Water District No. 1, New Water District",350,"$9,100,000",55,"$2,585,268,837",
19249,Livingston,TOWN OF LIMA WD #5 / Lima (T),"New Water District #5, New Water District","1,500","$24,771,500",50,"$2,610,040,337",
19546,Livingston,GENESEO (T) / Geneseo (T),"Legacy WM Replacement - Crossett Rd., NYS Rts 63, 39 and 20A, Upgrade Distribution System",108,"$3,708,000",45,"$2,613,748,337",
19549,Livingston,GENESEO (V) / Geneseo (V),"Replace WM approx 3,300 LF on Oak and Second Streets, Upgrade Distribution System",240,"$2,037,550",35,"$2,615,785,887",
19658,Livingston,LEICESTER (T) / Leicester (T),"Replace Water Storage Tank, Upgrade Storage",625,"$1,560,000",30,"$2,617,345,887",
19070,Livingston,YORK (T) / York (T),"Flat Road Pump Station Upgrades, Upgrade Pump Station","2,700","$1,300,000",30,"$2,618,645,887",
19121,Livingston,AVON TOWN WATER DISTRICT / Avon (T),"Townwide Water Main Replacement and Tank Improvements, Upgrade Storage, Upgrade Distribution System","3,000","$8,577,750",25,"$2,627,223,637",
18609,Livingston,LEICESTER (V) / Leicester (V),"Replacement of WM on South Pkwy, Pleasant St, & Maple Ln, Upgrade Distribution System",440,"$1,246,000",20,"$2,628,469,637",
19501,Madison,WATER DISTRICT 14 / Lenox (T),"Water District 14 Waterline Extension, New Water District",50,"$1,100,000",60,"$2,629,569,637",
18299,Madison,DERUYTER (V) / DeRuyter (V),"Water Systems Improvements - Storage, WTP, and Watermain upgrades., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",643,"$3,646,335",60,"$2,633,215,972",
19747,Madison,TOWN OF LINCOLN WATER DISTRICT NO. 1 / Lincoln (T),"Water District No. 1, New Water District",500,"$13,750,500",55,"$2,646,966,472",
18859,Madison,WHITELAW WD / Sullivan (T),"Whitelaw WD - Extend water service to areas served by private wells., New Water District",180,"$5,960,000",50,"$2,652,926,472",
18829,Madison,ONEIDA (C) / Oneida (C),"Construction of a new clear well, and rehab existing clear well., Upgrade Storage","20,516","$3,357,800",40,"$2,656,284,272",
19343,Madison,ONEIDA (C) / Oneida (C),"Improvements to Glenmore Dam, New Surface Water Source","20,156","$13,940,000",40,"$2,670,224,272",
19289,Madison,ONEIDA (C) / Oneida (C),"Lake St Pump Station Improvements., Upgrade Pump Station","21,832","$1,916,000",40,"$2,672,140,272",
19113,Madison,O-WE-RA POINT WATER SUPPLY / Owera Water Works Transport,"Intallation of iron treatment system and other upgrades to aged infrastructure, New Water Treatment Plant, Upgrade Pump Station",100,"$484,100",35,"$2,672,624,372",
19202,Madison,HAMILTON (V) / Hamilton (V),"NY Rt. 12B Water Main Replacement, new hydrants, valves and services, Upgrade Distribution System","4,017","$6,446,770",30,"$2,679,071,142",
19310,Madison,MOUNT PLEASANT WD / Cazenovia (T),"Mount Pleasant WD Watermain Replacement, Upgrade Distribution System",60,"$750,000",15,"$2,679,821,142",
18213,Monroe,ROCHESTER CITY / Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000",105,"$2,687,021,142",
19777,Monroe,BROCKPORT (V) / Brockport (V),"Replacement of Distribution and Transmission WM, Controls and Appurtenances, Upgrade Distribution System","7,300","$10,266,010",55,"$2,697,287,152",
19835,Monroe,PARMA (T) / Parma (T),"Town of Parma Water Improvement Benefit Area No. 1, New Distribution System",213,"$3,435,037",50,"$2,700,722,189",
19216,Monroe,ROCHESTER CITY / Rochester (C),"Hemlock Filtration Plant Filter Rehabilitation Project - Underdrain and Media Replacement, Upgrade Water Treatment Plant","214,000","$2,260,300",45,"$2,702,982,489",
19663,Monroe,ROCHESTER (C) / Rochester (C),"2023-24 WM Cleaning and Lining and Lead Service Line Replacement, Upgrade Distribution System","4,000","$8,333,000",40,"$2,711,315,489",
19618,Monroe,ROCHESTER (C) / Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System","18,000","$32,527,000",40,"$2,743,842,489",
18485,Monroe,ROCHESTER CITY / Rochester (C),"Scottrville Road Water Main Replacement., Upgrade Distribution System","214,000","$2,200,000",40,"$2,746,042,489",
18421,Monroe,MONROE COUNTY WATER AUTHORITY / Monroe County Water Authority,Upgrade Water Treatment Plant,"650,000","$3,000,000",40,"$2,749,042,489",
19313,Monroe,ROCHESTER CITY / Rochester (C),"Cleaning & lining of approximately 22,000lf of main and 175 LSL replacements, Upgrade Distribution System","214,000","$2,750,000",40,"$2,751,792,489",
19277,Monroe,ROCHESTER (C) / Rochester (C),"Lead Service Line Replacement 2024., Upgrade Distribution System","15,000","$48,410,000",40,"$2,800,202,489",
19806,Monroe,ROCHESTER (C) / Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System","12,000","$24,000,000",40,"$2,824,202,489",
19844,Monroe,ROCHESTER (C) / Rochester (C),"2025 Watermain Cleaning & Lining LSLR, Upgrade Distribution System","3,000","$8,334,000",40,"$2,832,536,489",
18230,Monroe,MONROE COUNTY WATER AUTHORITY,Upgrade Distribution System,"1,000","$855,000",25,"$2,833,391,489",
19494,Monroe,MONROE COUNTY WATER AUTHORITY,"Shoremont WTP - Replacement of GAC media to remove PFOA/PFOS, Upgrade Water Treatment Plant","400,000","$3,050,000",25,"$2,836,441,489",
19397,Monroe,MONROE COUNTY WATER AUTH / MCWA,"Lead Service Line Inventory, Upgrade Distribution System","558,818","$25,390,000",25,"$2,861,831,489",
18926,Monroe,MONROE COUNTY WATER AUTHORITY,"Installation of emergency scrubber for chlorine gas treatment, Upgrade Other Expenses, Upgrade Other (OT)","200,000","$300,000",25,"$2,862,131,489",
19214,Monroe,MONROE COUNTY WATER AUTHORITY,"Glen Iris Dr. Watermain Replacement, Upgrade Distribution System",120,"$498,520",20,"$2,862,630,009",
18448,Montgomery,FONDA (V) WATER WORKS,"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage","1,080",$0,1095,"$2,862,630,009",
19545,Montgomery,FLORIDA (T),"Fort Hunter Extenstion & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,"$8,111,250",105,"$2,870,741,259",
19101,Montgomery,FORT PLAIN (V) WATER WORKS,"PFOS removal at Lincoln Street Wells, Upgrade Water Treatment Plant","2,400","$1,010,000",85,"$2,871,751,259",
19556,Montgomery,ST JOHNSVILLE (V),"Disinfection Upgrades, Tank Rehab, Monroe St. Main Replacement, Upgrade Storage, Upgrade Distribution System","1,643","$2,278,880",55,"$2,874,030,139",
18412,Montgomery,CANAJOHARIE (V) WATER WORKS,"Storage tank replacement; storage tank rehabilitation; distribution upgrades, New Storage, Upgrade Storage, Upgrade Distribution System","2,300",$0,50,"$2,874,030,139",
19639,Montgomery,ST. JOHNSVILLE (V),"Lead service line inventory, Upgrade Distribution System",648,"$340,537",40,"$2,874,370,676",
19640,Montgomery,CANAJOHARIE (V),"Lead service line inventory, Upgrade Distribution System","2,300","$558,962",40,"$2,874,929,638",
18894,Montgomery,PALATINE BRIDGE (V) WATER WORKS,"Rt. 5 Watermain Replacement, Upgrade Distribution System",890,"$495,500",35,"$2,875,425,138",
18810,Nassau,WA OF GREAT NECK NORTH,"Phase 2 of Project #18146. Resiliency and redundancy at wells 2A, 5, 6, 8 and 11A, Backup generators at wells 6 and 10A, Upgrade Other Expenses, Upgrade Other (OT)","31,400",$0,1020,"$2,875,425,138",
18965,Nassau,TOWN OF HEMPSTEAD WD,"1,4-dioxane, PFOA/PFOS, and nitrate treatment for Well Nos. 1A & 2A at Levittown WD, Upgrade Water Treatment Plant","110,000","$6,001,000",130,"$2,881,426,138",
18670,Nassau,HEMPSTEAD (V),"1,4-dioxane and PFAS removal at Clinton Street Plant , Upgrade Water Treatment Plant, Upgrade Storage","56,000","$53,266,504",90,"$2,934,692,642",
19328,Nassau,PORT WASHINGTON WD,"Installation of GAC to treat PFAS, Improvements to site buildings and electric service, Upgrade Water Treatment Plant","34,000","$12,407,000",85,"$2,947,099,642",
19440,Nassau,BOWLING GREEN WD,"Installation of single-use ion exchange media to remove high levels of PFAS and perchlorate, Upgrade Water Treatment Plant","15,000","$14,053,320",80,"$2,961,152,962",
19369,Nassau,WILLISTON PARK (V),"Well No.4 GAC PFAS treatment, Upgrade Water Treatment Plant","7,300","$8,681,870",80,"$2,969,834,832",
19722,Nassau,OYSTER BAY (T),"Well 6-2 PFAS Treatment, Upgrade Water Treatment Plant","8,500","$5,792,000",80,"$2,975,626,832",
18674,Nassau,TOWN OF HEMPSTEAD WD,"1,4-dioxane and VOC treatment at Well Nos. 5 and 6 at Uniondale WD, Upgrade Water Treatment Plant","110,000","$11,500,000",80,"$2,987,126,832",
19665,Nassau,MANHASSET LAKEVILLE WD,"Installation of GAC Treatment for PFAS at Manhasset Lakeville WD Campbell Well No. 1, Upgrade Water Treatment Plant","43,000","$4,720,000",80,"$2,991,846,832",
18849,Nassau,HICKSVILLE WD,"Plant 5 AOP treatment of 1,4-dioxane, PFOA and PFOS, Upgrade Other Expenses, New Water Treatment Plant, Upgrade Other (OT)","47,810","$9,419,000",80,"$3,001,265,832",
19485,Nassau,PORT WASHINGTON WD,"New GAC to remove PFAS contamination at Ricks Well 7, Upgrade Water Treatment Plant","30,000","$9,527,500",80,"$3,010,793,332",
19065,Nassau,GARDEN CITY PARK WD,"Wells No. 7 and 10 - GAC treatment for PFOA/PFOS removal, Upgrade Water Treatment Plant","15,500","$6,500,000",80,"$3,017,293,332",
18964,Nassau,TOWN OF HEMPSTEAD WD,"Market Lane Plant Well Nos. 5A & 6B - AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal, Upgrade Water Treatment Plant","110,000","$11,860,000",80,"$3,029,153,332",
18969,Nassau,TOWN OF HEMPSTEAD WD,"1,4-dioxane, PFOA/PFOS, and nitrate treatment for Well Nos. 7, 11 & 12 at Roosevelt WD, Upgrade Water Treatment Plant","110,000","$22,000,000",80,"$3,051,153,332",
18967,Nassau,TOWN OF HEMPSTEAD WD,"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant","110,000","$8,110,000",80,"$3,059,263,332",
18966,Nassau,TOWN OF HEMPSTEAD WD,"1,4-dioxane treatment for Well Nos. 7A & 8A at Levittown WD, Upgrade Water Treatment Plant","110,000","$12,000,000",80,"$3,071,263,332",
