Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Conneaut,Old Main Street Waterline & Lift Station Improvements,OH0400411,"12,538",Ashtabula,"$111,550 ",Design,24-Sep,PLN/DES,NEDO
Conneaut,Old Main Street Waterline & Lift Station Improvements,OH0400411,"12,538",Ashtabula,"$615,950 ",Construction,25-Jun,STD,NEDO
Conneaut,Buffalo Street Watermain Replacement,OH0400411,"12,538",Ashtabula,"$30,000 ",Design,24-Aug,PLN/DES,NEDO
Continental,Main Street SR 634 Waterline Replacement,OH6900212,"1,299",Putnam,"$221,330 ",Construction,25-Feb,SML,NWDO
Coolville,Water System Improvements,OH500603,454,Athens,"$94,100 ",Design,24-Aug,PLN/DES,SEDO
Coolville,Water System Improvements,OH500603,454,Athens,"$1,880,900 ",Construction,25-Mar,DIS,SEDO
Coshocton,Warsaw Waterline Replacement and Extension,OH1600012,"13,537",Coshocton,"$9,917,000 ",Construction,24-Aug,DIS/REG,SEDO
Creston,Water Treatment Plant General Plan,OH8500312,"2,171",Wayne,"$30,000 ",Planning,24-Jul,PLN/DES,NEDO
Danville,Market Street Water Line Improvements Project,OH4200112,"1,124",Knox,"$802,000 ",Construction,25-May,SML,CDO
Dayton,"Expansion of Miami Well Field Recharge Lagoon, Phase A",OH8301512,"140,407",Montgomery,"$10,000,000 ",Construction,24-Sep,STD/EC,SWDO
Dayton,Water Quality Lab Expansion,OH5703512,"138,416",Montgomery,"$6,000,000 ",Construction,25-May,STD/EC,SWDO
Dayton,"48"" Interconnect between Miami Wellfield & Ottowa Plant",OH5703512,"140,407",Montgomery,"$10,000,000 ",Construction,25-May,STD/EC,SWDO
Dayton,Mad River Conversion Dam Replacement,OH5703512,"140,407",Montgomery,"$8,000,000 ",Construction,24-Aug,STD,SWDO
Dayton,Miami WTP Basin Mechanism Replacement,OH5703512,"140,407",Montgomery,"$2,500,000 ",Design,24-Aug,PLN/DES,SWDO
Dayton,"Expansion of Miami Well Field Recharge Lagoon, Phase B",OH5703512,"140,407",Montgomery,"$10,000,000 ",Construction,25-May,STD/EC,SWDO
Dayton,"36"" Raw Water Main within Miami Wellfield Phase B",OH5703512,"140,407",Montgomery,"$9,000,000 ",Construction,25-Jan,STD/EC,SWDO
Defiance,N66 Booster Station Replacement,OH2000111,"16,494",Defiance,"$1,200,000 ",Construction,25-Jan,STD,NWDO
"Del-Co Water Company, Inc.",Treatment of Emerging Contaminants at the Olentangy WTP,OH2101412,"15,000",Delaware,"$8,650,000 ",Construction,25-Jan,STD/EC,CDO
"Del-Co Water Company, Inc.",Village of Hartford Water Main Improvements,OH2101412,"150,000",Delaware,"$17,215,308 ",Construction,25-Jun,REG,CDO
Dunkirk,Lead Service Line and Water Line Replacement,OH3300212,769,Hardin,"$3,300,000 ",Construction,24-Sep,SML/LSL,NWDO
East Canton,Water Tower Rehab,OH7601503,"1,521",Stark,"$976,314 ",Construction,24-Sep,SML,NEDO
Edgerton,WTP Improvements,OH8600312,"2,162",Williams,"$986,225 ",Construction,25-Feb,SML,NWDO
Elmore,Well and Water Treatment Plant Abandonment,OH6200712,"1,756",Ottawa,"$25,000 ",Design,24-Sep,PLN/DES,NWDO
Elyria,Lead Service Line Replacement #4,OH2700411,"53,757",Lorain,"$5,000,000 ",Construction,24-Jul,STD/LSL,NEDO
Fairview,Water Connection to Barnesville,OH,81,Guernsey,"$25,000 ",Planning,24-Jul,PLN/DES,SEDO
Fayette,Water Distribution System Replacement - Phase 2,OH2600412,"1,250",Fulton,"$3,167,500 ",Construction,24-Oct,DIS/LSL,NWDO
Felicity,"New 200,000 Gallon Elevated Storage Structure",OH1300612,"3,700",Clermont,"$127,350 ",Design,24-Sep,PLN/DES,SWDO
Felicity,"New 200,000 Gallon Elevated Storage Structure",OH1300612,"3,700",Clermont,"$2,238,000 ",Construction,25-Mar,DIS,SWDO
Fort Recovery,Water Treatment Plant Reconstruction Project,OH5400212,"1,800",Mercer,"$484,000 ",Design,24-Jul,PLN/DES,NWDO
Fort Recovery,Water Treatment Plant Reconstruction Project,OH5400212,"1,501",Mercer,"$4,397,000 ",Construction,25-Jan,SML,NWDO
Frankfort,WTP Rehabilitation,OH7100712,"1,100",Ross,"$111,200 ",Construction,24-Jul,SML,SEDO
Franklin,12-inch Watermain Connection,OH8300412,"11,650",Warren,"$2,334,750 ",Construction,24-Oct,STD,SWDO
Franklin County,WDS Infrastructure Reconstruction Project,OH2501003,251,Franklin,"$719,398 ",Design,24-Aug,PLN/DES,CDO
Franklin County,WDS Infrastructure Reconstruction Project,OH2501003,251,Franklin,"$8,632,776 ",Construction,25-Apr,STD,CDO
Frazeysburg,2024 Water Treatment Plant Improvements,OH6000612,"1,340",Muskingum,"$559,135 ",Construction,24-Aug,SML,SEDO
Fredericksburg,Water System Improvements,OH8500812,420,Wayne,"$891,000 ",Construction,24-Oct,SML,NEDO
Fremont,Chemical Feed Building,OH7200311,"15,825",Sandusky,"$1,390,000 ",Construction,24-Sep,STD,NWDO
Gallia County Rural Water Association,SouthernTransmission,OH2700012,"20,995",Gallia,"$5,301,200 ",Construction,25-May,STD,SEDO
Gallia County Rural Water Association,GAC for PFAS Removal,OH2700012,"20,995",Gallia,"$227,500 ",Planning,24-Sep,PLN/DES,SEDO
Gallipolis,Waterline Replacement,OH2700112,"7,134",Gallia,"$7,558,700 ",Construction,24-Dec,DIS,SEDO
Gallipolis,PFAS General Plan,OH2700112,"7,134",Gallia,"$60,000 ",Planning,24-Aug,PLN/DES,SEDO
Gallipolis,Water Treatment Plant Improvements,OH2700112,"7,134",Gallia,"$95,000 ",Design,24-Sep,PLN/DES,SEDO
Gallipolis,Water Treatment Plant Improvements,OH2700112,"7,134",Gallia,"$946,443 ",Construction,24-Dec,SML,SEDO
Geneva,LSL Mapping,OH0401712,"5,924",Ashtabula,"$1,000,000 ",Planning,24-Aug,PLN/DES,NEDO
Genoa,Water Tank Rehabilitation,OH6201003,"1,026",Ottawa,"$1,708,102 ",Construction,24-Aug,SML,NWDO
Germantown,High Service Area Water Tower Rehab,OH5701012,"5,796",Montgomery,"$645,530 ",Construction,24-Oct,SML,SWDO
Glendale,Water System Upgrades,OH3100712,"2,500",Hamilton,"$4,491,800 ",Construction,24-Aug,SML/LSL,SWDO
Gnadenhutten,S. Walnut Street Waterline Replacement,OH7900512,"1,250",Tuscarawas,"$700,000 ",Construction,24-Oct,SML,SEDO
Grafton,Water Meter Replacement,OH4700511,"1,315",Lorain,"$707,750 ",Construction,24-Oct,SML,NEDO
Granger Lake,Water Plant Upgrades,OH5202112,131,Medina,"$238,405 ",Construction,25-Jan,SML,NEDO
Granville,WTP Filter Rehabilitation,OH4500612,"5,815",Licking,"$445,000 ",Construction,24-Dec,SML,CDO
Granville,WTP Lime Sludge Holding Improvements,OH4500612,"5,500",Licking,"$850,000 ",Construction,25-Jan,SML,CDO
Granville,WTP Sanitary Improvements,OH4500612,"5,500",Licking,"$750,000 ",Construction,24-Oct,SML,CDO
Granville,River Road Water Line Extension - Phases 2 and 3,OH450612,"5,829",Licking,"$60,000 ",Design,24-Dec,PLN/DES,CDO
Granville,River Road Water Line Extension - Phases 2 and 3,OH450612,50,Licking,"$400,000 ",Construction,25-Apr,SML,CDO
Granville,Burg Street Water Line Improvements,OH4500612,"5,500",Licking,"$4,712,000 ",Construction,25-May,SML,CDO
Greene County,"Watermain Imps Bun. 5 - Wagner, Feedwire, and Clyo Wtrmns",OH2903512,"50,000",Greene,"$3,000,000 ",Construction,25-Jun,STD,SWDO
Greene County,Hilltop Wellfield Development,OH2903512,"36,855",Greene,"$6,500,000 ",Construction,24-Sep,STD,SWDO
Greenville,New Water Tower - East,OH1900714,"13,227",Darke,"$8,828,000 ",Construction,25-Feb,STD,SWDO
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,500",Huron,"$400,000 ",Design,24-Oct,PLN/DES,NWDO
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,500",Huron,"$1,000,000 ",Construction,25-May,SML,NWDO
Hecla Water Association,Chesapeake Bypass Relocation,OH4401612,"34,942",Lawrence,"$3,130,400 ",Construction,24-Sep,STD,SEDO
"Highland County Water Company, Inc.","Southeast Water System Fortification, Phase 1 Marshall Area",OH3600514,"2,500",Highland,"$4,973,000 ",Construction,25-Jun,STD,SWDO
"Highland County Water Company, Inc.","Southeast Water System Fortification, Phase 2 Fairfax Area",OH3600514,"2,500",Highland,"$15,000,000 ",Construction,25-Jun,STD,SWDO
"Highland Ridge W & S Association, Inc.",State Rt 26/County 8 Waterline Extension,OH403203,"3,200",Washington,"$2,381,800 ",Construction,24-Aug,DIS,SEDO
Hillsboro,Beech St. Area Infrastructure Reconstruction Project,OH3600614,"6,535",Highland,"$1,222,208 ",Construction,24-Aug,SML,SWDO
Hiram,Water Treatment Plant Improvements,OH6701612,"1,406",Portage,"$1,500,000 ",Construction,24-Dec,SML,NEDO
Holgate,Regionalization Project,OH3500512,"1,061",Henry,"$1,517,500 ",Design,24-Sep,PLN/DES,NWDO
Holgate,Regionalization Project,OH3500512,"1,061",Henry,"$15,100,000 ",Construction,25-Jun,DIS/REG,NWDO
Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$769,000 ",Design,24-Oct,PLN/DES,SEDO
Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$7,548,000 ",Construction,24-Dec,STD,SEDO
Ironton,3rd Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$4,002,450 ",Construction,24-Jul,STD,SEDO
Ironton,Washington St Waterline Improvements,OH4400711,"4,400",Lawrence,"$730,000 ",Design,24-Oct,PLN/DES,SEDO
Ironton,Washington St Waterline Improvements,OH4400711,"10,599",Lawrence,"$6,172,113 ",Construction,24-Dec,STD,SEDO
Jackson,Florence Avenue Water Supply Improvements,OH4000111,"9,691",Jackson,"$1,715,000 ",Construction,25-Apr,SML,SEDO
Jackson Center,Water Treatment Plant Replacement,OH0200412,"1,441",Shelby,"$5,900,000 ",Construction,24-Aug,SML,SWDO
"Jackson County Water Company, Inc.",Garrett Ridge Improvements,OH4002012,"15,000",Jackson,"$3,360,000 ",Construction,24-Aug,DIS/REG,SEDO
Jamestown,Water System Improvements,OH2901712,"2,150",Greene,"$1,405,000 ",Design,24-Jul,PLN/DES,SWDO
Jamestown,Water System Improvements,OH2901712,"2,052",Greene,"$14,064,000 ",Construction,25-Feb,SML,SWDO
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,504,Jefferson,"$130,000 ",Design,24-Aug,PLN/DES,SEDO
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,504,Jefferson,"$1,400,000 ",Construction,25-Mar,STD,SEDO
Jefferson County,Warren Water Line Connection,OH4100803,"65,620",Jefferson,"$1,750,000 ",Construction,25-Jun,DIS/REG,SEDO
Jefferson County,Amsterdam,OH4101103,"65,620",Jefferson,"$350,000 ",Design,24-Oct,PLN/DES,SEDO
Jefferson County,Amsterdam,OH4101103,"65,620",Jefferson,"$7,500,000 ",Construction,25-Jun,STD,SEDO
Jefferson County,Berghotz Water System Improvements,OH4101103,"65,620",Jefferson,"$350,000 ",Design,24-Oct,PLN/DES,SEDO
Jefferson County,Berghotz Water System Improvements,OH4101103,"65,620",Jefferson,"$6,800,000 ",Construction,25-Jun,STD,SEDO
Jefferson Regional Water Authority,Water Treatment Plant Improvements,OH5703012,"4,620",Montgomery,"$5,335,900 ",Construction,24-Aug,SML,SWDO
Jefferson Regional Water Authority,Water Treatment Plant Improvements,OH5703012,"4,620",Montgomery,"$239,340 ",Design,24-Aug,PLN/DES,SWDO
Jefferson Water & Sewer District,Water Treatment Plant Improvements Phase 1,OH2504012,"11,289",Franklin,"$3,920,000 ",Construction,24-Sep,STD,CDO
Jefferson Water & Sewer District,Water Treatment Plant Improvements Phase 2,OH2504012,"11,294",Franklin,"$3,100,800 ",Construction,25-May,STD,CDO
Jeffersonville,New Potable Water Well,OH2454044,"1,258",Fayette,"$142,060 ",Construction,24-Aug,SML,CDO
Johnstown,Water Treatment Plant Expansion,OH4501512,"5,237",Licking,"$22,000,000 ",Construction,24-Sep,SML,CDO
Kenton,Detroit Street,OH3300612,"8,032",Hardin,"$1,558,577 ",Construction,25-Feb,SML/LSL,NWDO
Kenton,Downtown Waterline Replacement Phase 2B,OH3300612,"8,584",Hardin,"$5,839,599 ",Construction,25-Jun,SML/LSL,NWDO
Kingston,Water Purchase Control Valve Improvements,OH7100912,"1,262",Ross,"$244,500 ",Construction,25-Jan,DIS/REG,SEDO
Lakeview,Midway Water System Improvements - Phase 1,OH4601512,"1,184",Logan,"$379,310 ",Construction,25-Feb,REG,SWDO
Lakeview,WTP Upgrades,OH4601512,"1,184",Logan,"$2,400,000 ",Construction,25-Apr,REG,SWDO
Lakeview,Midway Water System Improvements - Phase 1,OH1801003,"1,184",Logan,"$35,700 ",Design,24-Jul,PLN/DES,SWDO
Lakewood,2024 Watermain & Lead Service Replacement,OH1801003,"52,131",Cuyahoga,"$669,920 ",Construction,24-Jul,STD/LSL,NEDO
Lancaster,South Water Plant Booster Pump,OH2301012,"40,400",Fairfield,"$4,000,000 ",Construction,24-Oct,STD,CDO
Le-Ax Regional Water District,Hebbardsville Road Waterline Project,OH501111,"6,576",Athens,"$800,562 ",Construction,25-Jan,SML,SEDO
Leesburg,Well Field and High Service Pump Rehab,OH3600712,"1,455",Highland,"$43,000 ",Design,24-Aug,PLN/DES,SWDO
Leesburg,Well Field and High Service Pump Rehab,OH3600712,"1,455",Highland,"$531,400 ",Construction,25-Jan,SML,SWDO
Leipsic,Poplar St Waterline Replacement,OH6900612,"2,215",Putnam,"$26,500 ",Design,24-Jul,PLN/DES,NWDO
Leipsic,Poplar St Waterline Replacement,OH6900612,"2,215",Putnam,"$573,190 ",Construction,25-Feb,SML,NWDO
Lewisburg,Well Field Improvements,OH6800812,"1,800",Preble,"$400,000 ",Construction,24-Jul,SML,SWDO
Licking County,Hanover Marne Phase 2 Water Line Extension,OH4502314,"2,100",Licking,"$1,178,268 ",Design,24-Jul,PLN/DES,CDO
Licking County,Hanover Marne Phase 2 Water Line Extension,OH4502314,"2,100",Licking,"$15,016,181 ",Construction,25-Jun,REG,CDO
Licking County,Edgewater Beach Water Line Extension,OH4500812,320,Licking,"$4,875,900 ",Construction,25-Jun,REG,CDO
Licking County,Jacksontown Water Line Extension,OH4500812,120,Licking,"$2,518,500 ",Construction,25-Jun,REG,CDO
Licking County,SR 13 Tank & Booster / Lancer Rd Water Line Extension,OH4500812,120,Licking,"$6,555,100 ",Construction,25-Jun,SML,CDO
Lima,Lead Service Line Replacement - Phase 2,OH0200811,"65,619",Allen,"$2,810,000 ",Construction,24-Oct,STD/LSL,NWDO
Lima,Allen WD - Lafayette WL Loop,OH0200811,"3,876",Allen,"$390,000 ",Design,24-Oct,PLN/DES,NWDO
Lima,Allen WD - Lafayette WL Loop,OH0200811,"3,876",Allen,"$4,661,140 ",Construction,25-Feb,REG,NWDO
Lisbon,North End & SR 45 Waterline Extensions,OH1501512,"2,821",Columbiana,"$699,573 ",Construction,24-Sep,REG,NEDO
Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,573",Fairfield,"$1,285,300 ",Construction,24-Sep,SML,CDO
Lithopolis,Jackson Lake Park Water System Interface,OH2301112,"1,573",Fairfield,"$384,970 ",Construction,24-Dec,REG,CDO
Lithopolis,Chlorination System Upgrades,OH2301112,"1,573",Fairfield,"$447,000 ",Construction,24-Sep,SML,CDO
Little Hocking W & S Association,SR339 Transmission and Barlow Tank and Booster,OH8400212,"2,875",Washington,"$925,000 ",Design,24-Oct,PLN/DES,SEDO
Little Hocking W & S Association,SR339 Transmission and Barlow Tank and Booster,OH8400212,"2,877",Washington,"$8,875,000 ",Construction,25-Jun,SML,SEDO
Little Hocking W & S Association,Waterline Extension,OH8400212,151,Washington,"$1,182,000 ",Design,24-Oct,PLN/DES,SEDO
Little Hocking W & S Association,Waterline Extension,OH8400212,151,Washington,"$11,453,000 ",Construction,25-Jun,SML,SEDO
Lockland,Water Treatment System Upgrades,OH3101212,"3,407",Hamilton,"$10,265,215 ",Construction,25-Mar,SML,SWDO
Logan,RO Membrane Skid for WTP,OH3700612,"6,704",Hocking,"$605,000 ",Construction,24-Oct,SML,SEDO
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$1,706,431 ",Design,24-Jul,PLN/DES,NEDO
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$11,543,499 ",Construction,25-Apr,SML,NEDO
Lordstown,Hallock-Young RD Connector Waterline,OH7804403,"3,600",Trumbull,"$2,226,000 ",Construction,24-Jul,SML,NEDO
Loveland,Water Treatment Plant PFAS Study,OH1300812,"13,125",Hamilton,"$46,500 ",Planning,24-Jul,PLN/DES,SWDO
Lowell,Water Tank and Watermain Replacement,OH8400312,549,Washington,"$1,066,995 ",Construction,24-Aug,DIS/LSL,SEDO
Lyons,Water Tower Replacement,OH2600603,697,Fulton,"$2,116,800 ",Construction,24-Dec,SML,NWDO
Madison Water District,Distribution Lines & Water Tank,OH7006712,"2,050",Richland,"$283,000 ",Design,24-Aug,PLN/DES,NWDO
Madison Water District,Distribution Lines & Water Tank,OH7006712,"2,050",Richland,"$4,590,000 ",Construction,25-Mar,REG,NWDO
Madison Water District,Distribution and WTP Improvements,OH7006712,"2,050",Richland,"$227,000 ",Design,24-Sep,PLN/DES,NWDO
Madison Water District,Distribution and WTP Improvements,OH7006712,"2,050",Richland,"$992,000 ",Construction,25-Mar,SML,NWDO
Mahoning Valley Sanitary District,Mineral Ridge Dam Rehabilitation,OH7801811,"220,000",Trumbull,"$16,000,000 ",Construction,24-Sep,SML,NEDO
Mahoning Valley Sanitary District,MVSD Ph V - Youngstown Reservoir and Gate House Improvements,OH7801811,"145,000",Trumbull,"$6,947,046 ",Construction,25-May,STD,NEDO
Mahoning Valley Sanitary District,Water Treatment Improvements for PFAS,OH7801811,"220,000",Trumbull,"$42,000,000 ",Construction,25-Jun,STD/EC,NEDO
Malta,Water Meter Replacement Project,OH5800412,671,Morgan,"$60,700 ",Design,24-Aug,PLN/DES,SEDO
Malta,Water Meter Replacement Project,OH5800412,671,Morgan,"$1,110,400 ",Construction,24-Oct,SML,SEDO
Malvern,Water Line Replacement Phase 2,OH1000112,"1,302",Carroll,"$6,643,500 ",Construction,24-Aug,SML/LSL,NEDO
Manchester,Waterline Replacement Phase 3,OH0100112,"2,087",Adams,"$401,000 ",Design,24-Jul,PLN/DES,SEDO
Manchester,Waterline Replacement Phase 3,OH0100112,"2,087",Adams,"$3,918,550 ",Construction,25-Feb,SML,SEDO
Marblehead,Village of Marblehead Water Tower,OH6202411,903,Ottawa,"$3,300,000 ",Construction,25-Jan,SML,NWDO
Marblehead,Johnson's Island Waterline Extension,OH6202411,"3,010",Ottawa,"$7,478,644 ",Construction,24-Sep,REG,NWDO
Marblehead,North Water Tower Improvements,OH6202411,"3,010",Ottawa,"$400,000 ",Construction,25-Jan,SML,NWDO
Marietta,LSL Replacement,OH8400412,"13,588",Washington,"$1,300,000 ",Construction,24-Dec,STD/LSL,SEDO
Martins Ferry,Hospital and Business District Water Main Replacement,OH0701212,"6,703",Belmont,"$856,000 ",Construction,24-Oct,SML,SEDO
Martins Ferry,Jefferson Street Waterline Replacement,OH0701212,100,Belmont,"$466,160 ",Construction,24-Sep,SML,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$24,800 ",Planning,24-Jul,PLN/DES,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$107,800 ",Design,25-Jan,PLN/DES,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$1,742,200 ",Construction,25-Jun,DIS/REG/EC,SEDO
Matamoras,Water Distribution Systems Improvements,OH8400512,672,Washington,"$402,000 ",Construction,25-Jan,SML,SEDO
Mechanicsburg,Water System Improvements - Phase 3,OH1100712,"1,681",Champaign,"$2,221,978 ",Construction,25-Feb,SML,SWDO
Mechanicsburg,Water System Improvements - Phase 3,OH1100712,"1,681",Champaign,"$49,735 ",Design,24-Jul,PLN/DES,SWDO
Miami County,Casstown Regional Distribution System,OH5502303,270,Miami,"$4,800,000 ",Construction,24-Oct,REG,SWDO
Miamisburg,WTF Softening Improvements Well #14 and #15,OH5701212,"20,000",Montgomery,"$7,500,000 ",Construction,24-Dec,STD,SWDO
Middletown,Water Storage Tank,OH0901712,"50,000",Butler,"$10,000,000 ",Construction,24-Aug,STD,SWDO
Middletown,Raw Water Transmission Main,OH0901712,"50,000",Butler,"$5,000,000 ",Construction,24-Oct,STD,SWDO
Middletown,2025 Water Main Replacements,OH0901712,"50,000",Butler,"$6,000,000 ",Construction,24-Dec,STD,SWDO
Middletown,Backwash EQ Tank,OH0901712,"50,000",Butler,"$2,500,000 ",Construction,24-Oct,STD,SWDO
Mid-Ohio Water and Sewer District,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$1,494,300 ",Design,24-Oct,PLN/DES,CDO
Mid-Ohio Water and Sewer District,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$24,070,235 ",Construction,25-Jan,REG,CDO
Mid-Ohio Water and Sewer District,SR 56/US 40 & Summerford Waterline Extension Design,OH4901012,"5,176",Madison,"$747,000 ",Design,24-Aug,PLN/DES,CDO
Mid-Ohio Water and Sewer District,SR 56/US 40 & Summerford Waterline Extension,OH4901012,"5,176",Madison,"$8,497,900 ",Construction,25-Mar,SML,CDO
Mid-Ohio Water and Sewer District,SR 161 Waterline Extension,OH4901012,"2,200",Madison,"$271,000 ",Design,24-Aug,PLN/DES,CDO
Mid-Ohio Water and Sewer District,SR 161 Waterline Extension,OH4901012,"2,200",Madison,"$2,521,840 ",Construction,25-Mar,SML,CDO
Mid-Ohio Water and Sewer District,Lafayette Waterline Extension,OH4901012,355,Madison,"$2,769,819 ",Construction,24-Sep,SML,CDO
Milan,Water Tower Improvements,OH2201212,"2,223",Erie,"$387,641 ",Construction,24-Aug,SML,NWDO
Minster,Water Treatment Plant Expansion,OH0600412,"2,784",Auglaize,"$1,200,000 ",Design,24-Dec,PLN/DES,NWDO
Minster,Water Treatment Plant Expansion,OH0600412,"2,850",Auglaize,"$8,000,000 ",Construction,25-Jun,SML,NWDO
Montpelier,Main Street Waterline LSL,OH8600912,100,Williams,"$2,561,200 ",Construction,25-Jun,SML/LSL,NWDO
Morgan-Meigsville Rural Water District,SR 60 Waterline Extension,OH5801003,100,Morgan,"$1,792,000 ",Construction,24-Oct,REG,SEDO
Mount Gilead,Water Plant Critical Infrastructure Improvement,OH5900712,"3,660",Morrow,"$8,590,080 ",Construction,25-Feb,SML,CDO
Mount Sterling,"150,000 Gallon Elevated Storage Facility",OH4900812,"1,945",Madison,"$356,825 ",Construction,24-Oct,SML,CDO
Munroe Falls,Water Main River Crossing,OH7702703,"3,140",Summit,"$27,416 ",Design,24-Jul,PLN/DES,NEDO
Muskingum County,Sunflower Rd and Getz Rd Water Main Extension,OH6000412,"21,464",Muskingum,"$1,012,200 ",Construction,25-May,REG,SEDO
Muskingum County,SR 555 Waterline Extension - Phase 2,OH6000412,80,Muskingum,"$938,710 ",Construction,24-Dec,DIS/REG,SEDO
Muskingum County,Claysville Rd Waterline Extension,OH6000412,30,Muskingum,"$656,902 ",Construction,24-Sep,DIS/REG,SEDO
Muskingum County,Pidcock and Norwich Valley Watermain Extensions,OH6000412,"21,464",Muskingum,"$947,600 ",Construction,24-Dec,REG,SEDO
Muskingum County,Maysville Regional Water Connection and Upgrades: Phase 2 WL,OH6000412,"21,464",Muskingum,"$1,430,433 ",Construction,24-Aug,REG,SEDO
Nashville,New Water Storage Tank and Supply,OH3801012,183,Holmes,"$1,931,688 ",Construction,24-Oct,SML,NEDO
Nelsonville,Water System Improvements Phase 3,OH0501214,"6,656",Athens,"$5,000,000 ",Construction,25-Jan,DIS,SEDO
New Concord,WTP Clarifier #2 Rehabilitation,OH6001711,"2,209",Muskingum,"$455,100 ",Construction,24-Sep,SML,SEDO
New Holland,Water System Improvements,OH6501612,804,Pickaway,"$251,269 ",Design,24-Aug,PLN/DES,CDO
New Holland,Water System Improvements,OH6501612,804,Pickaway,"$3,446,857 ",Construction,25-Apr,SML,CDO
New Richmond,PFAS Evaluation and Treatment,OH1301212,"2,650",Clermont,"$250,000 ",Design,25-Jan,PLN/DES,SWDO
New Straitsville,Main Booster Station Replacement,OH6400503,800,Perry,"$766,700 ",Construction,25-Jun,SML,SEDO
Newark,Lead Service Line Replacement Project #6,OH4502314,"19,425",Licking,"$3,500,000 ",Construction,25-Jan,STD/LSL,CDO
Newark,Lead Service Line Replacement Project #7,OH4502314,"19,425",Licking,"$3,500,000 ",Construction,25-Jun,STD/LSL,CDO
Newport Water and Sewer District,Connect to Village of Matamoras,OH8400612,"1,582",Washington,"$279,800 ",Design,24-Sep,PLN/DES,SEDO
Newport Water and Sewer District,Connect to Village of Matamoras,OH8400612,"1,582",Washington,"$3,530,000 ",Construction,25-Jun,DIS/REG/EC,SEDO
North Lewisburg,WTP Improvements,OH1100812,"1,636",Champaign,"$209,000 ",Construction,24-Jul,DIS,SWDO
North Lewisburg,Water Line System Improvements,OH1100812,"1,636",Champaign,"$6,196,100 ",Construction,25-Apr,SML,SWDO
North Lewisburg,Water Line System Improvements,OH1100812,"1,636",Champaign,"$443,500 ",Design,24-Jul,PLN/DES,SWDO
Northwestern Water & Sewer District,Eastwood Local School District Regional Waterline,OH8749912,905,Wood,"$2,200,000 ",Construction,25-Apr,REG,NWDO
Northwestern Water & Sewer District,Miltonville Waterline Replacement,OH8752812,"19,758",Wood,"$2,500,000 ",Construction,25-May,STD,NWDO
Northwestern Water & Sewer District,Lime City Waterline Loop,OH8752812,"19,758",Wood,"$1,425,000 ",Construction,24-Aug,STD,NWDO
Northwestern Water & Sewer District,Dunbridge Area Regional Waterline,OH8752212,"19,758",Wood,"$3,000,000 ",Construction,24-Oct,REG,NWDO
Northwestern Water & Sewer District,16-inch Wales Road Waterline Loop,OH8752812,"19,758",Wood,"$1,676,000 ",Construction,24-Dec,STD,NWDO
Northwestern Water & Sewer District,East Broadway Road Waterline Replacement,OH8752812,"19,758",Wood,"$900,000 ",Construction,24-Dec,STD,NWDO
Northwestern Water & Sewer District,Glenwood Road Waterline Replacement,OH8752812,"19,758",Wood,"$1,200,000 ",Construction,24-Dec,STD,NWDO
Northwestern Water & Sewer District,McClure West Side Water Line Replacement,OH8703211,"3,384",Wood,"$2,056,000 ",Construction,24-Aug,SML,NWDO
Northwestern Water & Sewer District,Oregon and Sheffield Roads Waterline Replacement,OH8752812,"19,758",Wood,"$1,712,000 ",Construction,24-Dec,STD,NWDO
Northwestern Water & Sewer District,Tracy Road Waterline Replacement,OH8752812,"19,758",Wood,"$1,200,000 ",Construction,24-Dec,STD,NWDO
Northwestern Water & Sewer District,Woodville Road Water Main Replacement,OH8704203,"9,629",Wood,"$2,178,000 ",Construction,24-Dec,SML,NWDO
Norwood,Montgomery Rd LSL Replacement,OH3101703,"19,870",Hamilton,"$592,000 ",Construction,24-Sep,STD/LSL,SWDO
Norwood,Rolston Ave LSL Replacement,OH3101703,"19,870",Hamilton,"$776,000 ",Construction,24-Sep,STD/LSL,SWDO
Norwood,Lincoln Ave LSL Replacement,OH3101703,"19,870",Hamilton,"$200,000 ",Construction,24-Aug,STD/LSL,SWDO
Oak Harbor,SR 163 Waterline Replacement,OH6202603,"2,741",Ottawa,"$318,290 ",Design,24-Jul,PLN/DES,NWDO
Oak Harbor,SR 163 Waterline Replacement,OH6202603,"2,821",Ottawa,"$1,868,500 ",Construction,25-Jan,SML,NWDO
