Entity,Project,PWS ID,Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Millersport,Water Metering and Reading System,OH2301212,"3,200",Fairfield,"$254,850.00",Construction,Aug-21,SML,CDO
Millersport,Water Treatment Plant Filter Addition,OH2301212,"3,200",Fairfield,"$978,530.00",Construction,Feb-22,SML,CDO
Monroeville,Route 20 Waterline Replacement,OH3900811,"1,400",Huron,"$584,243.00",Construction,Jul-21,SML,NWDO
Monroeville,Water System Imps,OH3900811,"1,400",Huron,"$28,300.00",Design,Sep-21,DES,NWDO
Monroeville,Water System Imps,OH3900811,"1,400",Huron,"$323,000.00",Construction,Mar-22,SML,NWDO
Monroeville,Water Treatment Plant Imps,OH3900811,"1,400",Huron,"$27,000.00",Design,Sep-21,DES,NWDO
Monroeville,Water Treatment Plant Imps,OH3900811,"1,400",Huron,"$269,500.00",Construction,Mar-22,SML,NWDO
Morgan Meigsville Rural WD,"Bone Rd Water Ext, Contract 21-1",OH5801003,700,Morgan,"$574,500.00",Construction,Oct-21,DIS/REG,SEDO
Morgan Meigsville Rural WD,Morgan County SR226/377 Water Ext,OH5801003,700,Morgan,"$423,000.00",Construction,Oct-21,DIS/REG,SEDO
Mount Vernon,Regionalization for Mt Vernon at Westgate MHC,OH4200812,"18,071",Knox,"$788,663.00",Construction,Dec-21,REG,CDO
Munroe Falls,Water System Booster Station Improvements,OH7702703,"5,032",Summit,"$628,000.00",Construction,Oct-21,SML,NEDO
Muskingum County,"Big B, Mutton Ridge and Sheck Rd Water Main Ext",OH6000412,"21,464",Muskingum,"$558,768.00",Construction,Jul-21,REG,SEDO
Muskingum County,Southern and Sundale Rd Water Main Ext,OH6000412,"21,464",Muskingum,"$2,341,489.00",Construction,Jul-21,REG,SEDO
Muskingum County,Sunflower Rd & Getz Rd,OH6000412,"21,464",Muskingum,"$843,450.00",Construction,May-22,REG,SEDO
Muskingum County,The Wilds Water Main Ext,OH6000412,"21,464",Muskingum,"$311,810.00",Construction,Oct-21,REG,SEDO
Muskingum County,Twin Hills Dr Water Main Ext,OH6000412,"21,464",Muskingum,"$654,250.00",Construction,Aug-21,REG,SEDO
Muskingum County,Virginia Ridge Rd Water Main Ext,OH6000412,"21,464",Muskingum,"$1,173,050.00",Construction,May-22,REG,SEDO
Nelsonville,2020 Water System Imps,OH0501214,"5,816",Athens,"$3,235,015.00",Construction,Jul-21,DIS,SEDO
Nelsonville,2022 Water System Imps,OH0501214,"5,816",Athens,"$222,300.00",Design,Jul-21,DES,SEDO
Nelsonville,2022 Water System Imps,OH0501214,"5,816",Athens,"$3,500,000.00",Construction,Jun-22,DIS/REG,SEDO
New Concord,Friendship Dr Lead Service Line & Meter Replacement,OH6001711,"2,491",Muskingum,"$196,410.00",Construction,Oct-21,SML/LSL,SEDO
New Concord,Lead Service Line Investigation,OH6001711,"2,491",Muskingum,"$93,320.00",Planning,Jul-21,PLN,SEDO
New London,Lead Service Line Replacement,OH3902611,"3,250",Huron,"$1,000,000.00",Construction,Jul-21,LSL,NWDO
New London,Lead Service Line Replacement,OH3902611,"3,250",Huron,"$20,000.00",Design,Jul-21,DES,NWDO
New Richmond,System Upgrades and EPA Compliance,OH1301212,"2,650",Clermont,"$24,600.00",Planning,Jul-21,PLN,SWDO
New Richmond,System Upgrades and EPA Compliance,OH1301212,"2,650",Clermont,"$99,600.00",Design,Dec-21,DES,SWDO
New Richmond,System Upgrades and EPA Compliance,OH1301212,"2,650",Clermont,"$639,660.00",Construction,May-22,SML,SWDO
New Vienna,Village of New Vienna Water System Improvements,OH1400815,"1,240",Clinton,"$40,000.00",Planning,Jul-21,PLN,SWDO
New Vienna,Village of New Vienna Water System Improvements,OH1400815,"1,240",Clinton,"$80,000.00",Design,Nov-21,DES,SWDO
New Vienna,Village of New Vienna Water System Improvements,OH1400815,"1,240",Clinton,"$415,000.00",Construction,Jan-22,REG,SWDO
New Waterford,Phase 3B Waterline Replacement,OH1501722,"1,238",Columbiana,"$619,975.00",Construction,Aug-21,DIS,NEDO
Noble County Water Authority,Waterline Extension I-77 E & Interconnect w Byesville,OH6100503,927,Noble,"$1,788,364.00",Construction,Aug-21,DIS/REG,SEDO
North Baltimore,Water System Imps (Contract A WL; Contract B Tank),OH8701611,"3,432",Wood,"$2,661,478.00",Construction,Jul-21,SML/LSL,NWDO
Northwest Regional WD,Left Fork Waterline Ext,OH7300003,"11,059",Scioto,"$143,270.00",Construction,Oct-21,REG,SEDO
Northwest Water & Sewer District,Custer Waterline Loop,OH8752812,"19,758",Wood,"$1,600,000.00",Construction,Jan-22,REG,NWDO
Northwest Water & Sewer District,Emergency Water Interconnection/Backup,OH8752812,"19,758",Wood,"$375,000.00",Construction,Dec-21,HAB,NWDO
Northwest Water & Sewer District,Miltonville Waterline Replacement,OH8752812,"19,758",Wood,"$3,868,342.00",Construction,Jan-22,STD,NWDO
Northwest Water & Sewer District,Village of McComb Regional Water Line,OH3200411,"1,690",Hancock,"$4,900,000.00",Construction,Dec-21,REG,NWDO
Norwood,Lead Line Replacement,OH3101703,"19,870",Hamilton,"$1,000,000.00",Construction,Jul-21,LSL,SWDO
Norwood,Water Meter Replacement Program,OH3101703,"19,870",Hamilton,"$2,000,000.00",Construction,Oct-21,STD,SWDO
Oak Harbor,Lake Winds Elevated Tank Rehabilitation,OH6202603,"4,615",Ottawa,"$221,080.00",Construction,Aug-21,SML,NWDO
Oakwood,Valve Replacement,OH6300312,608,Paulding,"$155,925.00",Construction,May-22,SML,NWDO
Old Straightsville Water Association, TTHM Reduction Improvements,OH6401403,"2,950",Hocking,"$200,000.00",Construction,Oct-21,DIS,SEDO
Ottawa,Ottawa Water Treatment Plant Improvements,OH6900711,"4,863",Putnam,"$7,555,201.00",Construction,Jul-21,DIS/HAB,NWDO
Payne,Waterline Replacement,OH6300712,"1,594",Paulding,"$842,710.00",Construction,Sep-21,SML,NWDO
Pemberville,Bierley Ave - Water St S End Loop Waterline Imps,OH8701712,"1,360",Wood,"$275,000.00",Construction,Mar-22,SML,NWDO
Pemberville,Downtown Business Alley Waterline Replacement,OH8701712,"1,360",Wood,"$139,300.00",Construction,Oct-21,SML,NWDO
Pemberville,East Front St Waterline Imps,OH8701712,"1,360",Wood,"$329,700.00",Construction,May-22,SML,NWDO
Pemberville,New Water Tower Imps,OH8701712,"1,360",Wood,"$1,035,000.00",Construction,Jun-22,SML,NWDO
Perry County,Phase 5 - Water System Imps,OH6402703,"1,476",Perry,"$2,900,000.00",Construction,Mar-22,DIS/REG,SEDO
Philo,Waterline and Booster Station Replacement,OH6001912,"1,050",Muskingum,"$37,330.00",Design,Jul-21,DES,SEDO
Philo,Waterline and Booster Station Replacement,OH6001912,"1,050",Muskingum,"$622,880.00",Construction,Oct-21,SML,SEDO
Piketon,Water Treatment Plant 1,OH6600712,"2,181",Pike,"$569,000.00",Design,Jul-21,DES,SEDO
Piketon,Water Treatment Plant 3,OH6600712,"2,181",Pike,"$5,987,800.00",Construction,Jun-22,SML,SEDO
Pomeroy,Water System Improvements,OH5300212,"1,800",Meigs,"$998,300.00",Construction,Aug-21,DIS/LSL,SEDO
Port Clinton,Water and Sanitary Sewer Infrastructure Improvements,OH6203211,"6,056",Ottawa,"$13,370,700.00",Construction,Jun-22,DIS/LSL,NWDO
Portage County Water Resources,Mantua Emergency Water Interconnect w/Portage Co,OH6702812,"8,423",Portage,"$3,088,847.00",Construction,Jun-22,REG,NEDO
Portage County Water Resources,Mantua Emergency Water Interconnect w/Portage Co,OH6702812,"8,423",Portage,"$384,623.00",Design,Jul-21,DES,NEDO
Portersville East Branch Water Co,Water System Imps- Meter Replacement,OH6402303,"2,340",Perry,"$474,600.00",Construction,May-22,SML,SEDO
Proctorville,Water System Improvements,OH4400912,574,Lawrence,"$198,840.00",Design,Jul-21,DES,SEDO
Proctorville,Water System Improvements,OH4400912,574,Lawrence,"$1,679,860.00",Construction,Sep-21,DIS/LSL,SEDO
Put-in-Bay,Sybil Blvd WTP Low Pressure SS Imps,OH6203311,700,Ottawa,"$591,504.00",Construction,Sep-21,SML,NWDO
Richwood,Water Treatment Plant Replacement,OH8000412,"2,316",Union,"$2,750,000.00",Construction,Aug-21,SML,CDO
Rittman,Sterling Ave WM and Lead Service Line Replacement,OH8503012,"6,491",Wayne,"$789,800.00",Construction,Mar-22,SML/LSL,NEDO
Rittman,Water Transmission Main Replacement,OH8503012,"6,491",Wayne,"$299,591.00",Design,Jul-21,DES,NEDO
Rittman,Water Transmission Main Replacement,OH8503012,"6,491",Wayne,"$3,930,000.00",Construction,Mar-22,SML,NEDO
Sabina,Water Treatment Plant Replacement and CIP 1,OH1400912,"2,564",Clinton,"$350,000.00",Design,Sep-21,DES,SWDO
Scio,Waterline and Lead Line Replacement,OH3401312,763,Harrison,"$258,890.00",Construction,Aug-21,SML/LSL,SEDO
Scioto Water,Franklin Furnace Area Transmission Reinforcement E,OH7300903,"21,343",Scioto,"$585,000.00",Construction,Jan-22,STD,SEDO
Scioto Water,Glades Rd Storage Tank Replacement,OH7300303,"21,343",Scioto,"$650,000.00",Construction,Jan-22,STD,SEDO
"Shelby, City",Main Street Water Service Line Replacement,OH7004511,"9,031",Richland,"$311,200.00",Construction,Aug-21,LSL,NWDO
Somerset,Water System Improvements and Extensions,OH6401111,"1,490",Perry,"$123,900.00",Design,Jul-21,DES,SEDO
Somerset,Water System Improvements and Extensions,OH6401111,"1,490",Perry,"$1,291,600.00",Construction,Mar-22,DIS/REG,SEDO
South Charleston,Water System Upgrades,OH1204212,"1,660",Clark,"$69,900.00",Planning,Jul-21,PLN,SWDO
South Charleston,Water System Upgrades,OH1204212,"1,660",Clark,"$169,900.00",Design,Dec-21,DES,SWDO
South Point,Waterline Replacement and Wellfield Upgrade,OH4401212,"4,133",Lawrence,"$2,194,700.00",Construction,Sep-21,SML,SEDO
South Point,"Waterline Replacement Solida Rd, 9th St & Park Ave",OH4401212,"4,133",Lawrence,"$1,309,811.00",Construction,Jul-21,SML,SEDO
Southern Perry County WD,Meter Consolidation and Waterline Replacement,OH6401603,"4,639",Perry,"$115,556.00",Design,Jul-21,DES,SEDO
Southern Perry County WD,Meter Consolidation and Waterline Replacement,OH6401603,"4,639",Perry,"$821,731.00",Construction,Apr-22,REG,SEDO
St. Clairsville,Water Distribution System Imps - Phase 1,OH0701516,"5,184",Belmont,"$135,000.00",Design,Jul-21,DES,SEDO
St. Clairsville,Water Distribution System Imps - Phase 1,OH0701516,"5,184",Belmont,"$3,124,950.00",Construction,Jun-22,REG,SEDO
Steubenville,West End Water Improvements,OH4102411,"17,000",Jefferson,"$7,124,902.00",Construction,Aug-21,STD,SEDO
Streetsboro,Streetsboro Priority Watermain Replacement,OH6705003,"14,274",Portage,"$800,000.00",Design,Jul-21,DES,NEDO
Streetsboro,Streetsboro Priority Watermain Replacement,OH6705003,"14,274",Portage,"$7,600,000.00",Construction,Mar-22,STD,NEDO
Stryker,"Stryker 100,000 Gallon Elevated Tank Replacement",OH8601712,"1,335",Williams,"$125,000.00",Design,Feb-22,DES,NWDO
Stryker,Stryker Waterline Replacement,OH8601712,"1,335",Williams,"$613,720.00",Construction,May-22,SML,NWDO
Sugarcreek,"Factory, Main, Maple & Broadway WL and LSL Repl",OH7901312,"2,220",Tuscarawas,"$200,000.00",Design,Nov-21,DES,SEDO
Sugarcreek,"Factory, Main, Maple & Broadway WL and LSL Repl",OH7901312,"2,220",Tuscarawas,"$2,140,388.00",Construction,Apr-22,SML/LSL,SEDO
Sunday Creek Valley WD,State Route 550 Waterline Replacement,OH0501503,"5,451",Athens,"$66,000.00",Design,Aug-21,DES,SEDO
Sunday Creek Valley WD,State Route 550 Waterline Replacement,OH0501503,"5,451",Athens,"$360,110.00",Construction,Apr-22,DIS,SEDO
Swanton,Water Treatment Plant Membrane Softening Imps,OH2601011,"3,855",Fulton,"$1,600,000.00",Construction,Aug-21,HAB,NWDO
Syracuse,Distribution System Improvements and Waterline Repl,OH5300512,826,Meigs,"$478,800.00",Construction,Jul-21,SML,SEDO
Toledo,Lead Service Line Replacement,OH4801411,"480,000",Lucas,"$1,000,000.00",Construction,Oct-21,STD/LSL,NWDO
Toronto,E. 5th St/Myers St Waterline & Lead Line Replacement,OH4102811,"5,676",Jefferson,"$30,000.00",Planning,Aug-21,PLN,SEDO
Toronto,E. 5th St/Myers St Waterline & Lead Line Replacement,OH4102811,"5,676",Jefferson,"$100,000.00",Design,Feb-22,DES,SEDO
Toronto,Walton Acres Phase 1 Waterline Imps,OH4102811,"5,676",Jefferson,"$30,000.00",Planning,Aug-21,PLN,SEDO
Toronto,Walton Acres Phase 1 Waterline Imps,OH4102811,"5,676",Jefferson,"$174,000.00",Design,Feb-22,DES,SEDO
Tri-County Rural Water & SD,Phase 6 Waterline Ext,OH8403112,"3,000",Washington,"$2,888,700.00",Construction,Aug-21,DIS/REG,SEDO
Trumbull County,Braceville Contract K Waterline Extension,OH7806503,569,Trumbull,"$293,215.00",Construction,Sep-21,REG,NEDO
Trumbull County,Braceville SR 82 & SR 534 Waterline Extension,OH7806503,569,Trumbull,"$545,500.00",Construction,Oct-21,REG,NEDO
Trumbull County,Elm Rd Water Imps,OH7804303,"7,576",Trumbull,"$1,097,337.00",Construction,Oct-21,SML,NEDO
Trumbull County,Mineral Ridge Hydraulic Imps,OH7803503,"2,657",Trumbull,"$912,470.00",Construction,Jul-21,SML,NEDO
Trumbull County,Stillwagon Rd Water Imps,OH7803203,"8,860",Trumbull,"$501,793.00",Construction,Oct-21,SML,NEDO
Tuppers Plains - Chester WD,Featherstone Road Waterline Extension,OH5300612,"16,087",Meigs,"$362,350.00",Construction,May-22,REG,SEDO
Tuscarawas,Water System Improvements,OH7901512,"1,056",Tuscarawas,"$500,675.00",Construction,Jul-21,SML,SEDO
Union City,New Water Treatment Plant 3,OH1901212,"1,650",Darke,"$2,070,000.00",Construction,Feb-22,SML,SWDO
Upper Sandusky,Water Meter Replacement,OH8800511,"6,600",Wyandot,"$1,736,500.00",Construction,Aug-21,SML,NWDO
Urbana,Water Booster Station Analysis & Design,OH1101212,"11,793",Champaign,"$750,000.00",Construction,Dec-21,STD,SWDO
Van Wert,Water Meter Improvements,OH8100611,"10,846",Van Wert,"$1,186,200.00",Construction,Sep-21,STD,NWDO
Wadsworth,Water Treatment Plant Imps - Phase 1,OH5201712,"24,356",Medina,"$977,805.00",Construction,Feb-22,STD,NEDO
Wakeman,Farmer Street and Cooper Street Waterline Imps,OH3901411,"1,047",Huron,"$624,810.00",Construction,Feb-22,SML/LSL,NWDO
Wapakoneta,Wapakoneta WTP Lime Softening,OH0600712,"10,867",Auglaize,"$26,000,000.00",Construction,Aug-21,STD,NWDO
Washingtonville,Water Tower Replacement,OH1502812,801,Columbiana,"$701,000.00",Construction,Feb-22,SML,NEDO
Waynesville,"Lead Service Line Replacement, Phase 1",OH8302012,"3,800",Warren,"$70,000.00",Design,Aug-21,DES,SWDO
Waynesville,"Lead Service Line Replacement, Phase 1",OH8302012,"3,800",Warren,"$830,000.00",Construction,Mar-22,SML/LSL,SWDO
Wellston,2020 Water System Improvements,OH4001912,"7,000",Jackson,"$2,200,000.00",Construction,Feb-22,DIS,SEDO
Wellston,New York & Broadway Street Water,OH4001912,"7,000",Jackson,"$1,191,813.00",Construction,May-22,DIS,SEDO
Wilmington,Lead Service Line Replacement,OH1401211,"12,401",Clinton,"$100,000.00",Construction,Jul-21,STD/LSL,SWDO
Woodville,Elevated Water Storage Tank,OH7200912,"2,135",Sandusky,"$1,516,662.00",Construction,May-22,SML,NWDO
Woodville,Waterline Improvements Phase 3,OH7200912,"2,135",Sandusky,"$3,718,725.00",Construction,May-22,SML/LSL,NWDO
Zanesville,Mitchell Water Storage Tank #3- Pioneer Tank Decom,OH6002712,"29,381",Muskingum,"$2,768,000.00",Construction,Sep-21,STD,SEDO
